λabs (nm),smiles
694.0,F[B-]1(F)[N+]2=c3c4ccc5c(cccc5)c4oc3=CC2=C(C(F)(F)F)c2n1c1c(c2)oc2c1ccc1c2cccc1
677.0,F[B-]1(F)[N+]2=c3c(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)sc3=C(c3ccc(OC)cc3)C2=Cc2n1c1c(c2-c2ccc(OC)cc2)sc(-c2ccc(OC)cc2)c1-c1ccc(OC)cc1
698.0,Fc1ccc(-c2sc3c(c2)=[N+]2C(=C(C(F)(F)F)c4n(c5c(c4)sc(-c4ccc(F)cc4)c5)[B-]2(F)F)C=3)cc1
688.0,F[B-]1(F)[N+]2=c3cc(-c4ccccc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccccc2)c1
709.0,Cc1ccc(-c2sc3c(c2)=[N+]2C(=C(C(F)(F)F)c4n(c5c(c4)sc(-c4ccc(C)cc4)c5)[B-]2(F)F)C=3)cc1
731.0,F[B-]1(F)[N+]2=c3cc(-c4ccc(OC)cc4)sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc(-c2ccc(OC)cc2)c1
738.0,Oc1ccc(-c2sc3c(c2)=[N+]2C(=C(C(F)(F)F)c4n(c5c(c4)sc(-c4ccc(O)cc4)c5)[B-]2(F)F)C=3)cc1
628.0,F[B-]1(F)[N+]2=c3sc(-c4ccc(C(C)(C)C)cc4)c(-c4ccc(C(C)(C)C)cc4)c3=C(c3ccc(C(C)(C)C)cc3)C2=C(C(F)(F)F)c2n1c1c(c2-c2ccc(C(C)(C)C)cc2)c(-c2ccc(C(C)(C)C)cc2)c(-c2ccc(C(C)(C)C)cc2)s1
622.0,F[B-]1(F)[N+]2=c3sc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)c3=C(c3ccc(OC)cc3)C2=C(C(F)(F)F)c2n1c1c(c2-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)s1
699.0,F[B-]1(F)[N+]2=c3c4sccc4sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc2c1scc2
726.0,F[B-]1(F)[N+]2=c3c4sc(I)cc4sc3=CC2=C(C(F)(F)F)c2n1c1c(c2)sc2c1sc(I)c2
606.0,F[B-]1(F)[N+]2=C(C)C=C(C)C2=C(c2ccccc2)c2n1c1c(c2)c(=O)oc2c1ccc(N(CC)CC)c2
704.0,Brc1ccc(C2=CC(c3ccc(OC)cc3)=[N+]3C2=Nc2c(-c4ccc(Br)cc4)cc(-c4ccc(OC)cc4)n2[B-]3(C#CC[N+](Cc2ccc(C(O)=O)cc2)(C)C)C#CC[N+](C)(C)Cc2ccc(C(O)=O)cc2)cc1
