label,solvent
564.0,O
540.0,CCO
524.0,CCO
550.0,CCO
567.0,CCO
573.0,CCO
552.0,O
613.0,O
634.0,O
621.0,O
493.0,O
570.0,CO
577.0,CO
400.0,O
475.0,O
530.0,CO
535.0,O
635.0,O
675.0,O
637.0,CC#N
638.0,O
642.0,O
639.0,O
645.0,O
480.0,O
506.0,O
390.0,O
786.0,CO
782.0,CO
785.0,CO
784.0,CO
785.0,CO
784.0,CO
680.0,O
688.0,CS(C)=O
688.0,CS(C)=O
680.0,O
802.0,CS(C)=O
777.0,O
640.0,CS(C)=O
640.0,CS(C)=O
635.0,CS(C)=O
640.0,CS(C)=O
779.0,CCO
780.0,CCO
785.0,CCO
785.0,CCO
785.0,CCO
435.0,C1CCCO1
423.0,CCO
384.0,O
764.0,[H]C(N(C)C)=O
769.0,[H]C(N(C)C)=O
774.0,[H]C(N(C)C)=O
781.0,CCO
782.0,CCO
785.0,CCO
818.0,CCO
820.0,CCO
823.0,CCO
781.0,CO
804.0,CO
883.0,ClC(Cl)Cl
981.0,ClC(Cl)Cl
1089.0,ClC(Cl)Cl
693.0,ClCCl
684.0,C1CCCO1
682.0,CCO
683.0,[H]C(N(C)C)=O
686.0,CS(C)=O
695.0,ClCCl
684.0,C1CCCO1
681.0,CO
685.0,CCO
686.0,[H]C(N(C)C)=O
699.0,ClCCl
685.0,C1CCCO1
685.0,CC(C)=O
688.0,CCO
682.0,CC#N
689.0,[H]C(N(C)C)=O
761.0,O
750.0,O
778.0,O
785.0,CO
801.0,[H]C(N(C)C)=O
805.0,CS(C)=O
783.0,O
796.0,CCO
811.0,CS(C)=O
686.0,O
689.0,CO
694.0,CCO
712.0,CS(C)=O
795.0,CCO
804.0,[H]C(N(C)C)=O
815.0,CS(C)=O
794.0,O
795.0,O
798.0,O
783.0,CCO
818.0,CCO
777.0,CCO
815.0,CCO
620.0,ClCCl
636.0,ClCCl
541.0,O
838.0,CS(C)=O
823.0,ClCCl
797.0,CS(C)=O
410.0,CS(C)=O
415.0,CCO
409.0,CO
403.0,O
417.0,[H]C(N(C)C)=O
418.0,CS(C)=O
420.0,CCO
443.0,CCO
443.0,C1CCCO1
688.0,CS(C)=O
679.0,O
1046.0,O
1039.0,O=S(C)C
1041.0,O
1021.0,O
1035.0,O
1052.0,O
905.0,ClC(Cl)Cl
1026.0,ClCCl
1026.0,ClCCl
883.0,ClC(Cl)Cl
981.0,ClC(Cl)Cl
1089.0,ClC(Cl)Cl
649.0,O
675.0,O
408.0,O
400.0,O
428.0,O
913.0,C1COCCO1
922.0,CC1=CC=CC=C1
911.0,ClCCl
898.0,CC#N
913.0,CS(C)=O
428.0,CO
785.0,CO
606.0,CC#N
685.0,O
695.0,CO
627.0,O
610.0,O
775.0,O
615.0,CC#N
630.0,O
631.0,O
770.0,CO
710.0,CO
775.0,CO
780.0,O
765.0,O
570.0,O
747.0,O
735.0,O
765.0,O
750.0,O
802.0,C1CCCCC1
737.0,C1CCCCC1
782.0,CC1=CC=CC=C1
789.0,CCO
720.0,CC1=CC=CC=C1
726.0,CCO
720.0,CCO
731.0,O
728.0,CO
704.0,C1CCCO1
713.0,CC#N
732.0,ClC(Cl)Cl
743.0,CO
724.0,C1CCCO1
733.0,CC#N
717.0,ClC(Cl)Cl
733.0,CO
708.0,C1CCCO1
716.0,CC#N
678.0,ClCCl
657.0,ClCCl
724.0,C1CCCCC1
715.0,CCCCOCCCC
705.0,C1CCCO1
686.0,CO
696.0,CS(C)=O
692.0,C1CCCCC1
694.0,CC1=CC=CC=C1
687.0,ClC(Cl)Cl
690.0,C1CCCO1
688.0,C1COCCO1
692.0,CS(C)=O
682.0,C1CCCCC1
686.0,CC1=CC=CC=C1
678.0,ClC(Cl)Cl
682.0,[H]C(N(C)C)=O
685.0,CS(C)=O
720.0,CS(C)=O
704.0,CO
728.0,ClCCl
728.0,ClCCl
688.0,ClCCl
684.0,ClCCl
661.0,CO
636.0,O
683.0,ClCCl
637.0,ClCCl
681.0,C1CCCO1
680.0,C1COCCO1
674.0,CC#N
671.0,CO
665.0,O
643.0,ClCCl
643.0,ClCCl
643.0,ClCCl
643.0,ClCCl
642.0,ClCCl
668.0,CC#N
680.0,ClCCl
676.0,[H]C(N(C)C)=O
681.0,CS(C)=O
671.0,CCO
685.0,C1CCCO1
673.0,CC#N
681.0,[H]C(N(C)C)=O
680.0,CS(C)=O
672.0,CC#N
685.0,ClCCl
678.0,CS(C)=O
673.0,CCO
691.0,C1CCCO1
683.0,CC#N
696.0,ClCCl
689.0,[H]C(N(C)C)=O
688.0,CS(C)=O
683.0,CCO
700.0,C1CCCO1
681.0,CC#N
694.0,ClCCl
688.0,[H]C(N(C)C)=O
688.0,CS(C)=O
682.0,CCO
698.0,C1CCCO1
456.0,CCCCCC
468.0,OCC(C)OCC(C)OCC
468.0,COC(CCCCC(OC)=O)=O
473.0,COC
483.0,CCOC(C)=O
493.0,CC#N
359.0,ClCCl
350.0,ClCCl
405.0,ClCCl
404.0,ClCCl
403.0,ClCCl
403.0,ClCCl
410.0,ClCCl
408.0,ClCCl
344.0,CC#N
334.0,CC#N
347.0,CC#N
393.0,CC#N
368.0,CS(C)=O
373.0,CS(C)=O
361.0,CS(C)=O
366.0,CS(C)=O
365.0,CO
365.0,CO
405.0,CO
355.0,CO
355.0,CO
293.0,CO
371.0,CO
363.0,CO
379.0,CO
452.2,CC#N
457.0,CCO
454.2,CC(C)=O
451.0,CCCO
450.0,CC(OCC)=O
456.0,ClC(Cl)Cl
430.0,CCOCC
449.0,CC1=CC=CC=C1
442.0,C1COCCO1
428.6,C1CCCCC1
425.8,CCCCCC
434.6,CC#N
436.0,CO
434.0,CCO
433.8,CC(C)=O
433.0,CCCO
435.8,CCCCO
432.8,CC(OCC)=O
431.2,CCOCC
435.0,CC1=CC=CC=C1
423.6,C1CCCCC1
421.4,CCCCCC
391.0,CC#N
395.0,CCO
400.0,CC#N
402.0,CCO
366.0,CC1=CC=CC=C1
362.0,CCO
360.0,CC(C)=O
360.0,[H]C(N(C)C)=O
432.0,CC1=CC=CC=C1
434.0,CC(C)=O
436.0,[H]C(N(C)C)=O
370.0,CC1=CC=CC=C1
358.0,CCO
360.0,[H]C(N(C)C)=O
370.0,CC1=CC=CC=C1
360.0,CCO
360.0,CC(C)=O
360.0,[H]C(N(C)C)=O
432.0,CC1=CC=CC=C1
440.0,CCO
432.0,CC(C)=O
438.0,[H]C(N(C)C)=O
467.0,O
491.0,O
500.0,O
514.0,O
560.0,O
480.0,O
625.0,O
608.0,O
694.0,O
422.0,O
381.0,O
382.0,O
485.0,O
543.0,O
548.0,CC#N
569.0,ClCCl
562.0,O
567.0,CC#N
588.0,ClCCl
569.0,CC#N
600.0,ClCCl
595.0,O
597.0,CC#N
621.0,ClCCl
515.0,O
541.0,CC#N
563.0,CC1=CC=CC=C1
561.0,CC#N
580.0,CC1=CC=CC=C1
541.0,O
567.0,CC#N
607.0,CC1=CC=CC=C1
602.0,CC#N
625.0,CC1=CC=CC=C1
382.0,CO
445.0,CO
448.0,CO
394.0,CO
409.0,CO
437.0,CO
419.0,CO
477.0,CO
479.0,ClCCl
493.0,CO
499.0,ClCCl
539.0,CO
558.0,ClCCl
567.0,CO
607.0,ClCCl
501.0,ClCCl
551.0,ClCCl
596.0,ClCCl
503.0,ClCCl
411.0,ClCCl
412.0,ClCCl
688.0,ClC(Cl)Cl
799.0,ClC(Cl)Cl
655.0,CC#N
664.0,ClC(Cl)Cl
763.0,CC1=CC=CC=C1
683.0,ClCCl
718.0,ClCCl
742.0,ClCCl
818.0,CS(C)=O
854.0,CS(C)=O
883.0,CS(C)=O
640.0,CC1=CC=CC=C1
728.0,CC1=CC=CC=C1
765.0,ClC(Cl)Cl
708.0,ClC(Cl)Cl
740.0,ClC(Cl)Cl
706.0,ClC(Cl)Cl
674.0,CC1=CC=CC=C1
675.0,ClCCl
697.0,ClC(Cl)Cl
654.0,CC1=CC=CC=C1
656.0,CC1=CC=CC=C1
656.0,CC1=CC=CC=C1
653.0,CC1=CC=CC=C1
654.0,CC1=CC=CC=C1
654.0,CC1=CC=CC=C1
656.0,CC1=CC=CC=C1
688.0,CCO
691.0,CCO
681.0,ClC(Cl)Cl
709.0,CC1=CC=CC=C1
720.0,CC1=CC=CC=C1
745.0,CC1=CC=CC=C1
686.0,ClCCl
746.0,ClCCl
645.0,ClC(Cl)Cl
774.0,CS(C)=O
